iter	Passed	Remaining
929	8560	23656
930	8569	23647
931	8578	23637
932	8587	23627
933	8596	23618
934	8606	23608
935	8615	23599
936	8624	23590
937	8633	23581
938	8642	23571
939	8651	23562
940	8661	23553
941	8670	23544
942	8679	23534
943	8688	23526
944	8697	23516
945	8706	23507
946	8716	23497
947	8725	23488
948	8734	23479
949	8743	23470
950	8752	23460
951	8761	23450
952	8770	23441
953	8779	23431
954	8789	23422
955	8798	23414
956	8807	23405
957	8817	23395
958	8826	23386
959	8835	23377
960	8844	23368
961	8854	23359
962	8863	23349
963	8872	23340
964	8881	23330
965	8890	23320
966	8899	23311
967	8908	23302
968	8917	23292
969	8926	23283
970	8935	23273
971	8944	23264
972	8954	23255
973	8963	23246
974	8972	23236
975	8981	23227
976	8990	23217
977	8999	23208
978	9008	23198
979	9017	23188
980	9027	23179
981	9036	23170
982	9045	23160
983	9054	23151
984	9063	23141
985	9072	23132
986	9081	23123
987	9091	23114
988	9100	23104
989	9109	23096
990	9118	23086
991	9127	23077
992	9137	23067
993	9145	23058
994	9154	23048
995	9163	23038
996	9173	23030
997	9182	23020
998	9191	23010
999	9200	23001
1000	9209	22991
1001	9218	22981
1002	9227	22972
1003	9237	22963
1004	9246	22954
1005	9255	22945
1006	9264	22936
1007	9273	22926
1008	9282	22917
1009	9292	22908
1010	9301	22899
1011	9310	22890
1012	9320	22881
1013	9329	22872
1014	9338	22863
1015	9347	22854
1016	9356	22844
1017	9366	22835
1018	9375	22826
1019	9384	22817
1020	9394	22808
1021	9403	22799
1022	9412	22790
1023	9421	22781
1024	9434	22781
1025	9444	22772
1026	9453	22763
1027	9462	22754
1028	9471	22745
1029	9480	22735
1030	9490	22726
1031	9498	22716
1032	9509	22709
1033	9518	22701
1034	9527	22691
1035	9536	22682
1036	9545	22672
1037	9555	22663
1038	9564	22653
